Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR25 progress (%),Sector
1,N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,ANDAMAN AND,10-2013,9/2018,6/2023,417.23,707.73,698.80,100.00,CIVIL AVIATION
2,N22000584,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,ANDAMAN AND,3-2019,3/2025,12/2025,235.72,-,54.28,55.00,RAILWAYS
3,N24000745,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,ANDAMAN AND,3-2017,12/2019,3/2023,409.85,-,214.23,95.10,RAILWAYS
4,N24000749,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,ANDAMAN AND,3-2018,9/2020,11/2022,234.27,-,126.50,82.93,RAILWAYS
5,N24000820,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,ANDAMAN AND,11-2017,11/2019,-,237.80,-,222.13,98.23,RAILWAYS
6,N24000821,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,ANDAMAN AND,11-2017,11/2019,-,257.34,-,214.90,100.00,RAILWAYS
7,N24001008,AJANTHA TO BULDHANA,MoRTH,ANDAMAN AND,2-2017,7/2019,-,401.00,401.00,260.08,97.00,RAILWAYS
8,N24002207,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,ANDAMAN AND,12-2024,2/2026,-,371.80,207.99,0.00,2.11,RAILWAYS
9,N24002208,PACKAGE-3A,NHIDCL,ANDAMAN AND,2-2018,9/2025,3/2024,207.54,154.01,16.21,35.50,RAILWAYS
10,N24002209,PACKAGE-3B,NHIDCL,ANDAMAN AND,2-2018,11/2025,-,183.47,-,1.45,25.27,RAILWAYS
11,N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,ANDAMAN AND,4-2020,3/2023,8/2025,611.80,-,433.85,73.00,CIVIL AVIATION
12,N04000103,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,ANDAMAN AND,12-2022,8/2025,-,347.15,347.15,72.12,43.00,CIVIL AVIATION
13,N04000106,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,ANDAMAN AND,3-2023,1/2026,-,265.91,-,39.49,27.00,CIVIL AVIATION
14,N42000005,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,ANDAMAN AND,2-2019,6/2020,-,655.34,-,366.21,95.00,"DEPARTMENT
OF HIGHER
EDUCATION"
15,N42000007,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,ANDAMAN AND,9-2019,9/2022,-,588.72,656.39,630.55,100.00,"DEPARTMENT
OF HIGHER
EDUCATION"
16,N16000247,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,ANDAMAN AND,3-2016,6/2020,3/2025,"34,012.00",-,"33,149.29",96.40,PETROLEUM
17,N16000432,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,ANDAMAN AND,9-2021,6/2024,3/2026,160.00,220.00,50.04,56.00,PETROLEUM
18,N16000485,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,ANDAMAN AND,3-2022,3/2030,-,"1,420.00",-,144.41,6.10,PETROLEUM
19,N16000499,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,ANDAMAN AND,9-2019,3/2025,-,"1,932.00",-,"1,491.64",85.30,PETROLEUM
20,N16000535,HP TRIJET UNIT IN VR,HPCL,ANDAMAN AND,7-2024,7/2027,-,193.00,-,0.38,19.00,PETROLEUM
21,N16000538,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,ANDAMAN AND,8-2024,3/2026,-,240.00,-,16.74,25.50,PETROLEUM
22,N16000539,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,ANDAMAN AND,9-2024,9/2027,-,"2,212.00",-,2.41,3.65,PETROLEUM
23,N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,ANDAMAN AND,9-2023,3/2025,-,"1,249.00",-,418.81,53.00,PETROLEUM
24,N18000395,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,ANDAMAN AND,5-2023,9/2025,-,164.00,-,66.00,15.00,PETROLEUM
25,N18000413,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ ? PHASE-I (FOR 4.5 GW),PGCIL,ANDAMAN AND,3-2025,3/2027,-,"5,000.00",-,0.00,-,PETROLEUM
26,N18000416,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,ANDAMAN AND,3-2025,3/2027,-,"2,886.00",-,0.00,-,PETROLEUM
27,220100265,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,ANDAMAN AND,12-2001,3/2028,-,"2,500.98",-,"1,141.44",18.00,PETROLEUM
28,N22000286,NADIKUDE-SRI KALAHASTI,SCR,ANDAMAN AND,4-2011,5/2027,-,"2,312.00",-,"1,935.77",-,PETROLEUM
29,N22000368,GUNTUR-GUNTAKAL,SCR,ANDAMAN AND,4-2016,12/2025,-,"3,733.37",-,"3,478.23",-,PETROLEUM
