Sl.No,Project Code,Project Name,Agency,State,Original DoC (MM/YYYY),Original Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,N04000075,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,AAI,TAMIL NADU,10/2021,951.28,"1,084.94",CIVIL AVIATION
2,N04000086,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT BEGUMPET AIRPORT, HYDRABAD",AAI,TELANGANA,05/2022,353.61,303.22,CIVIL AVIATION
3,N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,AAI,ANDHRA PRADESH,02/2020,177.10,143.08,CIVIL AVIATION
4,N16000343,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,ANDHRA PRADESH,04/2022,355.00,249.00,PETROLEUM
5,N16000358,MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV,ONGC,MAHARASHTRA,03/2022,"3,228.80","3,867.19",PETROLEUM
6,N16000413,AUGMENTATION OF FACILITIES AT THE EXISTING RAIPUR DEPOT,HPCL,CHHATTISGARH,03/2024,456.00,271.44,PETROLEUM
7,N18000338,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART C,PGCIL,MULTI STATE,03/2025,186.19,91.53,PETROLEUM
8,N18000354,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME XXVII,PGCIL,CHHATTISGARH,09/2024,271.69,192.03,PETROLEUM
9,N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,PGCIL,CHHATTISGARH,03/2025,260.30,197.79,PETROLEUM
10,N24001728,"IMPROVEMENT AND UP-GRADATION OF EXISTING ROAD TO 4L PS FROM KM 175.080 TO 229.070, FROM END OF HARDO",NHAI,UTTAR PRADESH,07/2025,"1,138.81",528.10,PETROLEUM
11,N24001783,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,HARYANA,09/2021,"2,252.75","1,223.07",PETROLEUM
12,N24001791,SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000 OF NH-754K (AJ-RGBS-PACKAGE-1),NHAI,GUJARAT,06/2023,606.51,453.89,PETROLEUM
13,N24001931,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION (DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING BATH,MoRTH,ANDHRA PRADESH,02/2025,536.00,334.06,PETROLEUM
14,N24001949,NH167B FROM KM 99.103 CS PURAM TO KM 143.320 MALAKONDA TO 2LPS,MoRTH,ANDHRA PRADESH,03/2024,277.30,206.25,PETROLEUM
15,N24001950,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS,MoRTH,ANDHRA PRADESH,02/2025,369.81,303.78,PETROLEUM
16,N24002141,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM,MoRTH,ANDHRA PRADESH,07/2025,364.07,227.21,PETROLEUM
17,N24001451,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-1,NHIDCL,ASSAM,07/2024,215.27,105.40,PETROLEUM
