S.No,Project ID,Project Name,Original Cost,Revised Cost,Expenditure,APR26
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000,90502,59.86
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,63246,33129,,52.55
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005,124623,96
4,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,38953,38953,28286,74
5,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP]  PHASE-IIIA,33690,33690,3577,22
1,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,43367,43367,4803,25.5
2,701263,RAJASTHAN REFINERY PROJECT,43129,79459,69202,91.9
3,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,34627,36225,27035,93.2
4,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012,33007,96.5
5,602182,DIBANG MULTIPURPOSE PROJECT,31876,4593,,17.43
1,701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,21030,8531,,0
2,701372,SARDAR SAROVAR PROJECT,20718,33413,31861,93.7
3,701415,POLAVARAM IRRIGATION PROJECT,10151,55549,26675,86.14
4,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,8201,14730,4785,87.7
5,400112,JIGAON IRRIGATION PROJECT,7223,10517,,92
1,706775,BHARATNET,61109,188000,46432,82.4
2,701593,4G SERVICES BY BSNL,28466,19592,8471,98.23
3,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,26316,30620,9792,84
4,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,8472,,98.23
5,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1458,,83
1,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,32850,32841,13886,46.8
2,617883,REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS NEW DELHI,4441,,25,61
3,701668,DEVELOPMENT OF PALAKKAD NODE UNDER EXTENSION OF CBIC TO KOCHI,3805,,0,1
4,617727,ORVAKAL INDUSTRIAL AREA,2786,112,,6.14
5,601812,DEVELOPMENT OF ZAHEERABAD NODE UNDER HYDERABAD NAGPUR INDUSTRIAL CORRIDOR,2360,,0,0.3
1,619032,JAYANT EXPN. [20 TO 38 MTPA],25560,127,,1.32
2,400424,GEVRA OC [70 MTY],11816,6905,,78.48
3,400185,GOPALJI KANIHA OCP [10 TO 30 M,8416,6108,1772,34.54
4,400150,RPR MAGADH EXP OCP,7254,1688,,40.21
5,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.",5940,263,,26
1,618412,"CONSTRUCTION OF I CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL ROAD LENGTH 18.475KM AND II 14.150 KM LONG 2-L BI-DIRECTIONAL SINGLE TUBE ZOJI-LA TUNNEL ACROSS ZOJILA PASS ON SONAMARG - KARGIL SECTION FROM KM 82 TO KM 118 OF NH-01 UNDER PMDP",6809,6809,3214,66.05
2,618738,"6L BRIDGE AND ITS APPROACHES ACROSS RIVER GANGA AS PART OF PATNA RING ROAD NH-131G STARTING FROM KM 8.480 NEAR SHERPUR TO KM 23.000 NEAR DIGHWARA",6292,3352,582,19.02
3,618934,GUWAHATI RING ROAD IN THE STATE OF ASSAM,5729,5729,3,0
4,618373,"CONSTRUCTION OF 4-LANE BRIDGE INCLUDING APPROACHES OVER RIVER BRAHMAPUTRA BETWEEN DHUBRI ON NORTH BANK,ASSAM AND PHULBARI ON SOUTH BANK,MEGHALAYA ON NH-127B UNDER JICA ODA LOAN ASSISTANCE PHASE-III",4997,4997,2808,74.36
5,618599,6L OF RAMANATUKKARA JUNCTION TO START OF VALANCHERY BYPASS SECTION OF NH-66,4924,4919,1816,99.75
1,602182,DIBANG MULTIPURPOSE PROJECT,31876,31876,4593,17.43
2,619051,NABINAGAR SUPER THERMAL POWER PROJECT STAGE-II [3X800 MW],29948,29948,2677,10.17
3,619025,RAJASTHAN PART I POWER TRANSMISSION LIMITED,25000,25000,230,2
4,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]",24819,24819,2482,9.67
5,618976,GADARWARA SUPER THERMAL POWER PROJECT STAGE-II [2X800 MW],20446,20446,1721,7.5
