S.No, Project ID, Project Name, Original Cost, Revised Cost, Expenditure, AUG2025
1,705728,"MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM",108000,108000,79919,53
2,702668,"CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT",63246,26410,0,45
3,705237,"WESTERN DEDICATED FREIGHT CORRIDOR",51101,124005,124623,96
4,705429,"RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM",38953,38953,24645,65
5,706780,"MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA",33690,33690,2303,16
6,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY",43367,43367,1856,14
7,701263,"RAJASTHAN REFINERY PROJECT",43129,79459,60295,88
8,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA",34627,36225,24355,89
9,400120,"KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK",34012,34012,33238,96
10,602182,"DIBANG MULTIPURPOSE PROJECT",31876,3554,0,16
11,701372,"SARDAR SAROVAR PROJECT",20718,33413,31768,93
12,701415,"POLAVARAM IRRIGATION PROJECT",10151,55549,24348,83
13,701405,"J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME",8201,14730,4559,87
14,400112,"JIGAON IRRIGATION PROJECT",7223,8501,0,90
15,701386,"GOSIKHURD PROJECT",7196,12770,13533,72
16,706775,"BHARATNET",61109,188000,41486,81
17,701593,"4G SERVICES BY BSNL",28466,19592,8390,96
18,400013,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF",26316,30620,9792,73
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,8391,0,96
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1101,0,79
21,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI",32850,0,0,0
22,701658,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",2139,406,0,17
23,701167,"AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR",1828,1828,1532,66
24,701657,"TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",1702,0,0,8
25,701173,"AIIMS MAJRA REWARI HARYANA",1299,349,0,28
26,400424,"GEVRA OC [70 MTY]",11816,5329,0,77
27,400185,"GOPALJI KANIHA OCP [10 TO 30 M",8416,6108,1709,17
28,400147,"KUSMUNDA OC EXPANSION [15 TO 50 MTY]",7612,4698,0,81
29,612838,"DIPKA OC",7580,3091,0,65
30,400150,"RPR MAGADH EXP OCP",7254,1535,0,38
31,705728,"MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM",108000,108000,79919,53
32,705237,"WESTERN DEDICATED FREIGHT CORRIDOR",51101,124005,124623,96
33,705429,"RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM",38953,38953,24645,65
34,706780,"MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA",33690,33690,2303,16
35,705391,"JIRIBAM-IMPHAL NEW LINE PROJECT",14323,21886,15598,69
36,400231,"NLC TALABIRA THERMAL POWER PROJECT",27213,27213,1954,1
37,400259,"GHATAMPUR THERMAL POWER PLANT 3 X 660 MW",17238,21781,20270,92
38,400424,"GEVRA OC [70 MTY]",11816,11816,5329,77
39,400185,"GOPALJI KANIHA OCP [10 TO 30 M",8416,6108,1709,17
40,400147,"KUSMUNDA OC EXPANSION [15 TO 50 MTY]",7612,7612,4698,81
41,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY",43367,43367,1856,14
42,701263,"RAJASTHAN REFINERY PROJECT",43129,79459,60295,88
43,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA",34627,36225,24355,89
44,400120,"KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK",34012,34012,33238,96
45,604795,"CBR 9 MMTPA PROJECT",31580,36354,1342,10
46,602182,"DIBANG MULTIPURPOSE PROJECT",31876,31876,3554,16
47,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]",24819,24819,1796,1
48,400062,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT RAGHUNATHPUR, PURULIA, WEST BENGAL",17673,17673,1193,1
49,612142,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III [2X800 MW]",17195,17195,1739,9
50,400261,"PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW]",17112,20302,17475,85
51,702668,"CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT",63246,63246,26410,45
52,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI",32850,32850,0,0
53,702633,"DELHI-GHAZIABAD-MEERUT REGIONAL RAPID TRANSIT SYSTEM [RRTS] CORRIDOR",30274,30274,26326,95
54,702635,"CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.",26405,30695,29478,94
55,702632,"DMRTS PHASE - IV [3 PRIORITY CORRIDORS]",24949,24949,15785,69
