S.No, Sector Name, Project Count, Original Cost (Rs. Crore), Revised Cost (Rs. Crore), Expenditure (Rs. Crore)
1,Railways,265,694807,841007,525898
2,"Aviation & Aviation Infrastructure",26,23050,23511,24880
3,Urban Public Transport,21,223017,243598,159570
4,Shipping,5,4823,4823,2021
5,Inland Waterways,3,72859,72551,30287
6,"Oil & Gas",90,351249,383480,184032
7,"Transmission & Distribution",61,142977,149491,52183
8,Electricity Generation,35,270284,329637,155932
9,Energy Storage,16,81301,120185,90498
10,Water Resources,40,93249,195108,138397
11,"Waste & Water",33,10125,10125,20706
12,Telecommunication,14,150850,272942,72123
13,Education,30,12754,12685,8159
14,Real Estate,6,37591,37591,553
15,Healthcare,4,4848,5186,2752
16,"Tourism, Hospitality & Wellness",1,573,1238,497
17,Coal,119,168890,166628,54350
18,Steel,19,16748,19987,7970
19,"Metals & Mining",10,14436,16873,6190
20,Construction,2,902,902,612
