Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",IISC Bangalore,Karnataka,08/2021,08/2021,12/2025,03/2024,12/2025,420.41,420.41,367.92,Education
2,612135,Hostel 4 -Earlier Known as Hostel 20,"Indian Institute of Technology, Bombay",Maharashtra,09/2022,12/2023,12/2025,09/2025,12/2025,182.33,-,178.17,Education
3,709858,OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL,BSNL,PAN India,02/2024,02/2024,10/2025,08/2025,10/2025,810.99,-,786.86,Telecommunication
4,612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",Airport Authority of India [AAI],Uttar Pradesh,-,08/2023,10/2025,11/2024,10/2025,219.18,274.38,215.51,Aviation & Aviation Infrastructure
5,400145,CHHAL OC SEAM III [6 MTY],South Eastern Coalfields Limited [SECL],Chhattisgarh,12/2013,12/2013,12/2025,03/2022,01/2026,610.63,-,583.26,Coal
6,702842,Nagpur Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,Maharashtra,12/2015,08/2018,01/2026,03/2023,01/2026,273.78,271.86,267.57,Waste & Water
7,612239,Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA J&K.,Employee's State Insurance Company [ESIC],Jammu and Kashmir,09/2019,12/2021,12/2025,09/2024,12/2025,131.05,164.93,162.05,Healthcare
8,400158,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,"Department of Water Resources, River Development & GR",Maharashtra,04/2021,04/2021,12/2025,02/2024,12/2025,1164.69,1629.86,1048.74,Oil & Gas
9,610985,Construction of lube oil blending plant at Rasayani,Ministry of Petroleum & Natural Gas,Maharashtra,05/2022,05/2022,12/2025,12/2023,12/2025,423.39,526.26,333.48,Oil & Gas
10,709748,BIKANER SOLAR POWER PROJECT,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Rajasthan,10/2021,05/2022,12/2025,04/2024,12/2025,5491.89,-,5523.11,Electricity Generation
11,602194,Khurja super Thermal Power Plant [2X660 MW],THDC India Limited,Uttar Pradesh,03/2019,08/2019,09/2025,02/2024,09/2025,11089.42,13276.2,12888.23,Electricity Generation
12,611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,03/2023,03/2023,01/2026,09/2024,01/2026,1433.28,1433,1433,Transmission & Distribution
13,611937,Adraj Moti Vijapur 40 Kms,Western Railway (WR) - II,Gujarat,05/2022,05/2022,12/2025,05/2026,12/2025,417.53,417.53,513.61,Railways
14,705300,Western Region Video Surveillance Project,RCIL,PAN India,06/2020,04/2023,01/2026,12/2023,07/2026,227.59,-,0,Railways
15,705779,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau",RVNL - I,Uttar Pradesh,05/2017,10/2019,12/2025,12/2024,12/2025,1178,2215,2217.85,Railways
16,705784,Janghai-Phaphamau Doubling Rail Line Project,RVNL,Uttar Pradesh,11/2018,03/2020,01/2025,03/2025,01/2025,357,978.77,844.84,Railways
17,400065,Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in SMS-II at Rourkela Steel Plant,Steel Authority of India Limited [SAIL],Odisha,01/2022,02/2022,NA,05/2025,09/2025,1105.23,-,809.53,Steel
