S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,1108,1023676,1051567,323515
2,Railways,247,693607,844707,563950
3,Urban Public Transport,28,335216,355797,208407
4,Aviation & Aviation Infrastructure,26,21601,22815,10080
5,Shipping,9,15124,15291,9339
6,Inland Waterways,2,5546,5258,4190
7,Logistics Infrastructure,1,763,763,430
8,Oil & Gas,96,367211,395613,191971
9,Transmission & Distribution,69,203950,209914,62393
10,Electricity Generation,38,310690,369473,159125
11,Energy Storage,17,81207,120038,98707
12,Water Resources,41,117826,221647,157621
13,Waste & Water,30,9428,9497,5598
14,Telecommunication,14,151923,274016,77298
15,Healthcare,37,21179,25631,9930
16,Education,30,15618,15066,8503
17,Real Estate,6,37591,37582,13929
18,"Tourism, Hospitality & Wellness",1,573,1238,546
19,Coal,120,190252,187990,48935
20,Steel,19,18161,21400,9472
21,Metals & Mining,7,10044,12481,7284
22,Construction,2,899,899,233
