Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Physical Progress (%),Sector
800,618254,Construction of Paderu bypass Km 0000 to Km 13000 of 2- lane with paved shoulder an NH-516E,MORTH,Andhra Pradesh,03/2023,01/2025,07/2026,-,244.43,244.43,2.14,3,Roads & Highways
801,618255,Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E,MORTH,Andhra Pradesh,04/2020,11/2023,11/2025,-,361.24,358.05,77.68,23,Roads & Highways
802,618256,"Rehabilitation and Upgradation to 2-lane with paved should ders Sir, configuration of Chaprathipalem to Lambasingi section Km 165500 to Km 205000 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode",MORTH,Andhra Pradesh,08/2020,10/2022,10/2024,-,311.22,311.22,172.01,76,Roads & Highways
803,616257,Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode,MORTH,Andhra Pradesh,08/2020,07/2022,07/2024,10/2025,349.29,349.29,221.52,86,Roads & Highways
804,618258,Two laning with paved shoulders of Gondiguda to Araku uptoBhallaguda section of NH 516E,MORTH,Andhra Pradesh,08/2020,09/2021,09/2023,04/2024,296.66,289.11,237.52,91,Roads & Highways
805,618259,Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E,MORTH,Andhra Pradesh,08/2020,03/2021,03/2023,03/2024,222.61,222.61,122.52,100,Roads & Highways
806,618412,Construction of i Connecting Road from Z-Morh Tunnel to Zojila Tunnel Road Length 18.475km and ii 14.150 Km long 2-L Bidirectional -single tube Zoji-la Tunnel across Zojila Pass on Sonamarg Kargil section from Km 82 to Km 118 of NH-01 under PMDP,NHIDCL,Andhra Pradesh,01/2018,10/2020,09/2026,12/2027,6808.69,6808.69,3147.58,66,Roads & Highways
807,618475,Bangalore Chennai Expressway Phase-II Pkg-Il from km.96.000 to Km 127.000 Baireddypalle to Bangarupalem section,National Highways Authority of India [NHAI],Andhra Pradesh,02/2021,06/2023,06/2025,06/2026,2548.04,2548.04,1079.15,83,Roads & Highways
808,618476,Bangalore Chennai Expressway Phase-II Pkg-III from km. 127.000 to Km 156.000 Bangarupalem to Gudipala section,National Highways Authority of India [NHAI],Andhra Pradesh,11/2020,10/2022,10/2024,-,1407.33,1407.33,675.57,99,Roads & Highways
809,618525,Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh on EPC mode under NHO,National Highways Authority of India [NHAI],Andhra Pradesh,03/2025,10/2025,10/2027,-,326.61,223.29,5.34,4,Roads & Highways
810,618527,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,National Highways Authority of India [NHAI],Andhra Pradesh,01/2020,07/2021,01/2024,-,1194.57,1757.82,683.12,98,Roads & Highways
811,618579,6L of Anandapuram Pendurthi Anakapalli Section from km. 681.000 to km. 731.780 of NH-16,National Highways Authority of India [NHAI],Andhra Pradesh,01/2018,01/2019,07/2021,01/2020,2527,2957.25,123.42,99,Roads & Highways
812,618700,Renigunta Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,National Highways Authority of India [NHAI],Andhra Pradesh,03/2020,01/2022,01/2024,10/2024,1863.09,2510.14,1336.5,98,Roads & Highways
813,618712,6L Access Controlled Greenfield Highway from Kodur Ch. 0000 to Vanavolu Ch. 24300 of [NH-544G] Package-1,National Highways Authority of India [NHAI],Andhra Pradesh,01/2023,02/2024,02/2026,-,912.94,798.25,300.71,81,Roads & Highways
