S.No,Sector Name,Project Count,Original Cost (€ crores),Revised Cost (€ crores),Expenditure (€ crores),Report Month
1,Roads & Highways,863,799040,814341,247872,January 2026
2,Railways,251,697517,850971,700909,January 2026
3,Urban Public Transport,283,335216,355797,205666,January 2026
4,Aviation & Aviation Infrastructure,26,21601,22815,9677,January 2026
5,Shipping,9,15124,15291,9339,January 2026
6,Inland Waterways,2,5546,5258,4150,January 2026
7,Logistics Infrastructure,1,763,763,430,January 2026
8,Oil & Gas,93,353599,382328,191044,January 2026
9,Transmission & Distribution,70,206141,212104,61527,January 2026
10,Electricity Generation,38,310690,369473,154881,January 2026
11,Energy Storage,17,81207,120038,96246,January 2026
12,Water Resources,39,93740,193594,140376,January 2026
13,Waste & Water,3,19664,9733,5778,January 2026
14,Telecommunication,14,151923,274016,77232,January 2026
15,Healthcare,37,21179,25631,9754,January 2026
16,Education,30,15618,15066,8356,January 2026
17,Real Estate,6,37591,37582,13207,January 2026
18,"Tourism, Hospitality & Wellness",15,731,238,546,January 2026
19,Coal,118,185977,183715,48547,January 2026
20,Steel,19,18161,21400,8959,January 2026
21,Metals & Mining,7,10044,12481,7173,January 2026
22,Construction,2,899,899,222,January 2026
