Sl.No,Project Code,Project Name,Agency,State,Original DoC (MM/YYYY),Original Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,N16000392,CITY GAS DISTRIBUTION IN WEST BENGAL,HPCL,WEST BENGAL,03/2031,"5,830.20",875.27,PETROLEUM
2,N16000426,CGD PROJECT AT NAWADA AND KODERMA DISTRICTS,IOCL,MULTI STATE,12/2029,169.00,71.00,PETROLEUM
3,N16000496,"CGD PROJECT IN TONK, SAWAI MADHOPUR, DAUSA, KARAULI",HPCL,RAJASTHAN,03/2030,"1,751.00",301.39,PETROLEUM
4,N18000293,BHENSARA 320 MW,NTPC,RAJASTHAN,07/2022,"1,221.73","1,139.42",POWER
5,N18000296,"150 MW SOLAR PV PROJECT IN GUJARAT (LIMBDI, MESANKA AND RADHANPUR)",NTPC,GUJARAT,09/2022,674.92,572.53,POWER
6,N18000286,SAMBHU KI BHURJ-II SOLAR 300MW,NTPC,RAJASTHAN,09/2021,"1,782.00","1,369.88",POWER
7,N22000625,KARAIKAL PERALAM(23KM)-NEW LINE PROJECT,SR,TAMIL NADU,03/2026,304.22,292.65,RAILWAYS
8,N24001887,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,MAHARASHTRA,06/2024,291.37,157.59,RAILWAYS
9,N24001888,"UP-GRADATION OF TIRORA-GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH-335, TIRORA) TO KM 191+",MoRTH,MAHARASHTRA,04/2023,288.14,72.78,RAILWAYS
10,N24001889,2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,MAHARASHTRA,07/2021,277.81,155.01,RAILWAYS
11,N24001894,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98-172.95 OF NH-63],MoRTH,MAHARASHTRA,07/2021,228.82,145.50,RAILWAYS
12,N24001895,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,MAHARASHTRA,09/2023,228.01,106.11,RAILWAYS
13,N24001905,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,MAHARASHTRA,08/2023,188.69,111.25,RAILWAYS
14,N24001909,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160 (TEMBHURNI - KUSL",MoRTH,MAHARASHTRA,06/2024,157.72,80.37,RAILWAYS
15,N24001440,KEIFANG - TUVAI PKG-1,NHIDCL,MIZORAM,05/2023,492.94,365.86,RAILWAYS
16,N24001600,BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW NH-83),NHAI,TAMIL NADU,05/2023,434.12,268.92,RAILWAYS
17,N24001603,4-LANING OF ODDANCHATRAM - MADATHUKULAM SECTION OF NH-209 (NEW NH-83),NHAI,TAMIL NADU,10/2022,"1,518.53",915.40,RAILWAYS
18,N24002137,STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK- GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,NHAI,MAHARASHTRA,03/2025,175.00,201.00,RAILWAYS
19,N24001254,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM 40.00,NHIDCL,SIKKIM,06/2022,242.97,246.91,RAILWAYS
