Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
1,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",(Airport Authority of India [AAI]),Andhra Pradesh,03/2023,01/2024,,01/2026,05/2026,265.91,265.91,104.54,53.0,Aviation & Aviation Infrastructure
2,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,(Airport Authority of India [AAI]),Andhra Pradesh,06/2020,09/2020,,09/2022,07/2026,611.8,611.8,523.14,87.0,Aviation & Aviation Infrastructure
3,701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,(Airport Authority of India [AAI]),Andhra Pradesh,12/2022,08/2023,,08/2025,03/2026,347.15,347.15,141.08,76.0,Aviation & Aviation Infrastructure
4,706724,Guwahati Airport New Integrated Terminal Building Construction Project,(Adani Airport Holdings Limited),Assam,12/2016,03/2018,,03/2025,03/2026,1712.0,2520.0,2591.82,97.0,Aviation & Aviation Infrastructure
5,612183,Development of New Civil Enclave at Bihta,(Airport Authority of India [AAI]),Bihar,08/2024,04/2025,,03/2027,-,1413.0,1413.0,4.88,1.0,Aviation & Aviation Infrastructure
6,612194,Development of New Civil Enclave and associated works at Darbhanga Airport,(Airport Authority of India [AAI]),Bihar,07/2024,07/2024,,07/2026,-,911.66,911.66,321.52,57.0,Aviation & Aviation Infrastructure
7,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",(Airport Authority of India [AAI]),Bihar,12/2018,10/2018,,05/2026,05/2026,1216.9,1216.9,1192.94,97.0,Aviation & Aviation Infrastructure
8,701105,Goa Airport Terminal Building Extension Project,(Airport Authority of India [AAI]),Goa,11/2017,12/2019,,12/2021,04/2026,255.69,255.69,154.3,99.0,Aviation & Aviation Infrastructure
9,619054,Development of Keshod Airport.,(Airport Authority of India [AAI]),Gujarat,,07/2025,,01/2027,-,363.1,363.1,35.84,21.0,Aviation & Aviation Infrastructure
10,701126,"Development of Dholera International Greenfield Airport , Gujarat",(Airport Authority of India [AAI]),Gujarat,06/2022,07/2022,,06/2026,06/2026,1305.0,1551.0,850.92,79.0,Aviation & Aviation Infrastructure
