S.No,Project ID,Project Name,Original Cost,Revised Cost,Expenditure,MARCH26
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000,90396,59.1
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,63246,32503,0,51.86
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005,124623,96
4,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,38953,38953,28269,73.5
5,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,33690,33690,3486,22
6,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,43367,43367,4553,23.3
7,701263,RAJASTHAN REFINERY PROJECT,43129,79459,68838,91.6
8,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,34627,36225,26553,92.8
9,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012,32995,96.5
10,602182,DIBANG MULTIPURPOSE PROJECT,31876,4541,0,17.25
11,701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,21030,8531,0,0
12,701372,SARDAR SAROVAR PROJECT,20718,33413,31861,93.7
13,701415,POLAVARAM IRRIGATION PROJECT,10151,55549,26640,85.9
14,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,8201,14730,4785,87.7
15,400112,JIGAON IRRIGATION PROJECT,7223,9588,0,91
16,706775,BHARATNET,61109,188000,46432,81.5
17,701593,4G SERVICES BY BSNL,28466,19592,8471,98.05
18,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,26316,30620,9792,83.7
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,8472,0,98.05
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1451,0,83
21,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI",32850,32841,13886,46.5
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI",4441,0,0,61
23,701658,KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,2139,754,0,36.17
24,701167,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,1828,2161,1545,75
25,701657,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,1702,278,0,21.84
26,619032,JAYANT EXPN. [20 TO 38 MTPA],25560,0,0,1.32
27,400424,GEVRA OC [70 MTY],11816,6905,0,78.48
28,400185,GOPALJI KANIHA OCP [10 TO 30 M,8416,6108,1769,55.98
29,400150,RPR MAGADH EXP OCP,7254,1700,0,38.86
30,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.",5940,255,0,23
