S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,1120,1034561,1060740,351917
2,Railways,246,690683,841907,571255
3,Aviation & Aviation Infrastructure,26,21601,22815,10583
4,Urban Public Transport,26,299557,320189,180184
5,Shipping,7,14726,14767,9771
6,Inland Waterways,2,5546,5258,4340
7,Logistics Infrastructure,1,763,763,430
8,Oil & Gas,93,363712,392246,198328
9,Transmission & Distribution,68,203787,209750,65535
10,Electricity Generation,36,303250,358519,156579
11,Energy Storage,15,80140,118911,100403
12,Water Resources,41,117826,221647,159575
13,Waste & Water,30,9428,9497,5639
14,Telecommunication,12,151125,273253,77021
15,Healthcare,36,20970,25421,10009
16,Education,30,15618,15066,8781
17,Real Estate,6,37591,37582,14977
18,"Tourism, Hospitality & Wellness",1,573,1238,611
19,Coal,119,189003,186741,49560
20,Steel,18,17812,21050,9797
21,Metals & Mining,6,9689,11900,7408
22,Construction,2,899,899,260
