Sl.No,Project Code,Project Name,Agency,State,Original DoC (MM/YYYY),Original Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,N06000189,TALABIRA II AND III OCP,NLC,ODISHA,01/2027,"2,401.07","1,626.71",COAL
2,N28000112,C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY (SCTIMST,CPWD FOR HEALTH,KERALA,03/2020,150.29,162.52,"HEALTH AND FAMILY
WELFARE"
3,N28000104,NSG AT KOLKATA,CPWD FOR MHA,WEST BENGAL,04/2018,162.88,193.91,HOME AFFAIRS
4,N45000003,CONSTRUCTION OF 683 VARIOUS TYPE FAMILY QUARTERS AT GROUP CENTRE CRPF CHANDAULI,CPWD FOR MHA,UTTAR PRADESH,01/2022,199.31,86.49,HOME AFFAIRS
5,N16000361,ADDITIONAL STORAGE TANKS AT PARADIP,IOCL,ODISHA,09/2021,462.30,493.72,PETROLEUM
6,180100210,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,HIMACHAL PRADESH,09/2009,"3,919.59","12,832.59",POWER
7,220100133,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",NR,JAMMU AND KASHMIR,08/2024,"37,012.00","42,328.83",POWER
8,N22000183,NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING,NFR,MULTI STATE,08/2024,"2,047.51","3,709.47",POWER
9,N22000401,VARANASI-MODHOSINGH-ALLAHABAD DOUBLING,RVNL,UTTAR PRADESH,12/2024,"2,018.23","1,780.22",POWER
10,N22000417,2880.4,ECR,UTTAR PRADESH,08/2024,"2,880.40","3,074.78",POWER
11,N22000418,EXECUTION OF RAIL CONNECTIVITY PROJECT FOR COAL TRANSPORTATION IN ODISHA FOR MCRL,IRCON,ODISHA,03/2020,"5,200.00",389.00,POWER
12,N22000419,KARAILA ROAD - SHAKTINAGAR DOUBLING,ECR,UTTAR PRADESH,08/2024,762.97,808.96,POWER
13,N22000502,"MANSA-BHATINDA (PHASE-I), INCL. NEW MATERIAL MODIFICATION FOR RAMA MANDI (RAMAN) - SADA SINGHWALA VI",NR,PUNJAB,08/2016,404.00,190.00,POWER
14,N22000523,DARBHANGA - BYPASS LINE CONNECTING SHISHO HALT AND KAKARGHATI EXCL DARBHANGA YARD (7.64 KM),ECR,BIHAR,06/2025,983.62,417.57,POWER
15,N22000609,AZIMGANJ-MURSHIDABAD (JIYAGANJ) INCL. RLY. BRIDGE OVER RIVER BHAGIRATHI,ER,WEST BENGAL,02/2024,164.33,160.82,POWER
16,N22000505,MEHSANA PALANPUR DOUBLING PROJECT 65.10 KMS,WR,GUJARAT,03/2024,537.31,944.55,POWER
17,N24001428,FOUR LANING OF VILUPPURAM TO PUDHUCHERRY (DESIGN CH. KM. 00/000 TO KM. 29/000) SECTION OF NH-45A ON,NHAI,TAMIL NADU,11/2021,998.70,975.68,POWER
18,N24001430,FOUR LANING OF POONDIYANKUPPAM (KM.67/000) TO SATTANATHAPOURAM (KM.123/800) SECTION OF NH-45A ON HAM,NHAI,TAMIL NADU,01/2022,"2,120.40","1,588.17",POWER
19,N24001475,CONSTRUCTION OF 2 LANE WITH HARD SHOULDER FROM DESIGN CHAINAGE KM 283.000 TO KM 325.440 (5- LEGGED J,NHIDCL,NAGALAND,12/2024,605.36,273.21,POWER
20,N24001532,"CONSTRUCTION OF 4-LANE NH-344P-PACKAGE-4 (FROM KM 0+000 TO KM 29+600, 29.6KM), STARTING FROM BAWANA",NHAI,HARYANA,11/2023,694.00,"1,466.82",POWER
21,N24001533,CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-AMRITSAR- KATRA EXPRESSWAY (NE-05) FROM JUSSUR KHERI ON KMP,NHAI,HARYANA,12/2023,"1,690.23","1,462.45",POWER
22,N24001534,CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI- AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH ROHTAK-PANIP,NHAI,HARYANA,01/2024,"1,334.04","1,048.12",POWER
23,N24001536,FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID ANNUI,NHAI,HARYANA,07/2022,817.00,986.08,POWER
24,N24001616,2L PS OF SATNA - MAIHAR SECTION OF NH-135BG FROM KM 80.800 TO KM 120.125,NHAI,MADHYA PRADESH,10/2023,428.04,351.97,POWER
25,N24001708,BAKHTIYARPUR RAJAULI PKG-III FROM KM 101.630 TO KM 152.520 NH20,NHAI,BIHAR,06/2024,"2,156.22","1,397.72",POWER
26,N24001711,6L OF KANHAULI RAMNAGAR PATNA RING ROAD PKG I FROM KM 0.000 TO KM 39.160 OF SH78 NEW NH131G,NHAI,BIHAR,03/2023,939.43,"1,030.75",POWER
27,N24001765,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION OF N",NHAI,MADHYA PRADESH,07/2024,207.77,147.24,POWER
28,N24001768,BALANCE WORK OF 4L OF INDORE-GUJARAT/MP BORDER FROM KM 106.210 TO KM 115.250 (START AND END POINT OF,NHAI,MADHYA PRADESH,04/2023,323.51,246.27,POWER
29,N24001788,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 217.500 TO KM 254.430 OF VADODARA MU,NHAI,GUJARAT,12/2023,"2,271.86","2,655.78",POWER
30,N24001815,"4L BYPASSES FOR JAGATPUR, B4ABUGANJ, UNCHAHAR, ALAPUR BYPASS, AND SAI RIVER BRIDGE OF RAEBARELI- PRA",NHAI,UTTAR PRADESH,11/2024,"1,699.00","1,033.72",POWER
31,N24001869,UPGRADATION AND REHABILITATION TO TWO LANE WITH PAVED SHOULDER OF GHAGARIYA- MUNABAO SECTION FROM KM,MoRTH,RAJASTHAN,08/2025,235.15,152.69,POWER
32,N24002085,WIDENING OF RAEBARELI TO PRAYAGRAJ SECTION FROM KM. 82.650 TO KM. 161.450 OF NH-30 AND LINK ROAD FRO,NHAI,UTTAR PRADESH,03/2025,"1,470.93","1,088.30",POWER
33,N24001389,CHANGTONGYA TO LONGLENG ROAD PKG-2,NHIDCL,NAGALAND,06/2022,206.53,119.25,POWER
34,N24001391,JORAM ? KOLORIANG ROAD FROM EXISTING KM 70.00 TO KM 88.700 (PKG-4),NHIDCL,ARUNACHAL PRADESH,04/2022,294.04,147.13,POWER
35,N24001360,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-3,NHIDCL,MEGHALAYA,12/2022,260.21,239.35,POWER
36,N24000709,BALANCE WORK FOR FOUR LANING OF ITARSI TO BETUL SECTION OF NH69 FROM KM 63.000 TO KM 137.00 (DESIGN,NHAI,MADHYA PRADESH,02/2020,950.27,643.90,POWER
37,N24001179,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER FROM KM. 168 TO 183.783 (YESEMYONG TO UNGER) ON MOKOKCHUN,MoRTH,NAGALAND,11/2020,217.35,214.18,POWER
38,N24001180,WIDENING OF EXISTING SINGLE/INTERMEDIATE LANE ROAD TO 2 LANE ROAD FROM KM. 83.00 TO KM 101.00 ON NH-,MoRTH,NAGALAND,12/2022,237.51,215.47,POWER
39,N24000567,FOUR LANING OF BHAVNAGAR-TALAJA SECTION OF NH-8E FROM KM. 7.090 TO KM. 53.585 (DESIGN CH FROM KM. 6.,NHAI,GUJARAT,08/2019,998.18,"1,105.25",POWER
40,N24000570,FOUR LANING OF UNA TO KODINAR OF NH-8E FROM KM. 180.478 TO KM 221.610 (PACKAGE-V) IN THE STATE OF GU,NHAI,GUJARAT,08/2019,763.08,734.78,POWER
