S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,CIVIL AVIATION,38,"26,718.18","27,878.25","17,738.02"
2,COAL,113,"186,109.83","190,653.87","66,730.38"
3,DEPARTMENT OF HIGHER EDUCATION,20,"9,680.92","10,152.14","7,192.52"
4,DPIIT,2,"24,857.00","31,457.00","16,231.95"
5,FINANCE,2,577.27,577.27,399.67
6,HEALTH AND FAMILY WELFARE,7,"7,150.98","7,459.11","4,900.15"
7,HOME AFFAIRS,3,"1,663.54","2,539.11","2,193.78"
8,MINES,8,"7,559.78","9,356.73","6,034.59"
9,PETROLEUM,105,"423,126.00","474,335.56","2,44,464.96"
10,POWER,108,"379,828.26","403,113.29","2,23,684.20"
11,RAILWAYS,203,"579,886.47","569,688.23","3,97,884.96"
12,ROAD TRANSPORT AND HIGHWAYS,958,"742,316.73","770,508.11","3,87,038.64"
13,SHIPPING AND PORTS,1,"5,369.18","5,061.15","3,441.55"
14,SOCIAL JUSTICE,1,170.99,170.99,73.80
15,STEEL,20,"16,297.20","20,228.73","7,838.89"
16,TELECOMMUNICATIONS,6,"26,961.69","26,949.89","9,650.92"
17,URBAN DEVELOPMENT,27,"265,881.46","272,720.33","2,00,218.70"
18,WATER RESOURCES,15,"15,428.28","15,429.03","27,441.75"
