Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,Adani Airport Holdings Limited,Uttar Pradesh,06/2018,09/2018,03/2024,03/2026,-,3100,-,3112.57,Aviation & Aviation Infrastructure
2,613795,JAMPALI OC RCE [2.0 MTY],South Eastern Coalfields Limited [SECL],Chhattisgarh,05/2020,05/2020,08/2024,03/2025,06/2025,278.64,-,210.07,Coal
3,617282,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi",Central Public Works Department [CPWD],Delhi,01/2022,05/2022,09/2025,05/2025,09/2025,646.53,646.52,540.04,Construction
4,702682,Dibrugarh Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,Assam,02/2016,01/2020,12/2025,03/2023,01/2026,186.8,-,186.8,Waste & Water
5,612688,"Construction of New OPD Block 200 Bed ward Basement + GF + 6 Floors at the location of old OPD block, at existing ESIC Hospital/ Medical college campus, Sanathnagar, Hyderabad",Employee's State Insurance Company [ESIC],Telangana,11/2017,10/2021,06/2025,06/2024,06/2025,211.13,-,198.95,Healthcare
6,701564,"Construction of new dry dock at exisitng Cochin Shipyard Limited premises at Perumanoor, Kochi 682 015",Cochin Shipyard,Kerala,04/2018,05/2018,03/2025,12/2022,03/2025,1799,-,1558.39,Shipping
7,611737,Western Region Expansion Scheme-XXV,Power Grid Corporation of India Limited [POWERGRID],Chhattisgarh,05/2022,05/2022,NA,08/2023,10/2025,385.84,-,385.84,Transmission & Distribution
8,608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,Power Grid Corporation of India Limited [POWERGRID],Delhi,02/2022,02/2022,11/2025,09/2023,12/2025,359.47,-,359.47,Transmission & Distribution
9,611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2023,03/2023,12/2025,03/2025,12/2025,1167.55,1167,1167,Transmission & Distribution
10,611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2023,03/2023,12/2025,12/2024,11/2025,966.79,-,966.79,Transmission & Distribution
11,608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Power Grid Corporation of India Limited [POWERGRID],Jammu and Kashmir,02/2022,02/2022,11/2025,04/2025,11/2025,318.12,-,318.12,Transmission & Distribution
12,608922,Transmission System Strengthening Scheme for evacuation of power from SEZ in Rajasthan 8.1 GW under Phase II Part G,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Delhi, Haryana, Rajasthan)",05/2022,05/2022,NA,11/2023,12/2025,1666,2218,2218,Transmission & Distribution
13,606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Jammu and Kashmir, Ladakh)",03/2022,03/2022,11/2025,12/2024,11/2025,288.71,-,288.71,Transmission & Distribution
