S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,993,"945,371","961,717","460,545"
2,Railways,192,"469,207","643,473","461,968"
3,Urban Public Transport,30,"320,872","339,476","178,627"
4,Aviation & Aviation Infrastructure,25,"21,345","22,772","11,586"
5,Shipping,4,"7,573","7,613","5,246"
6,Logistics Infrastructure,1,763,763,430
7,Inland Waterways,1,"5,369","5,061","4,187"
8,Oil & Gas,91,"362,394","394,917","204,671"
9,Transmission & Distribution,63,"197,391","203,354","68,897"
10,Electricity Generation,39,"389,214","439,436","146,800"
11,Energy Storage,12,"25,152","28,441","23,049"
12,Water Resources,30,"96,487","197,110","140,511"
13,Waste & Water,23,"7,790","7,889","4,588"
14,Telecommunication,31,"207,195","133,825","102,879"
15,Healthcare,44,"23,350","28,175","12,039"
16,Education,31,"16,072","15,585","9,210"
17,Real Estate,15,"54,230","54,296","16,985"
18,"Tourism, Hospitality & Wellness",1,573,"1,238",656
19,Coal,115,"184,578","182,551","52,369"
20,Steel,26,"24,625","28,207","12,877"
21,Metals & Mining,6,"9,689","13,843","7,693"
22,Construction,2,899,899,288
