Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Sector
1,701105,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Goa,11/2017,12/2019,-,12/2021,04/2026,255.69,255.69,161.06,Aviation & Aviation Infrastructure
2,701263,Rajasthan Refinery Project,MinistryofPetroleumNaturalGas,Rajasthan,10/2017,10/2017,-,10/2022,06/2026,43129,79459,70293.57,Energy Storage
3,400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Indian Oil Corporation Limited [IOCL],Tripura,06/2022,06/2022,-,09/2025,06/2026,656,656,546.57,Energy Storage
4,709760,HP TDAE Unit in Mumbai Refinery,Hindustan Petroleum Corporation Limited,Maharashtra,06/2024,06/2024,-,04/2026,06/2026,240,240,160.8,Oil & Gas
5,709782,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,Indian Oil Corporation Limited [IOCL],Maharashtra,08/2022,08/2022,-,08/2025,06/2026,165,165,103.36,Oil & Gas
6,611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,Power Grid Corporation of India Limited [POWERGRID],Andhra Pradesh,09/2023,09/2023,-,09/2025,05/2026,823,-,798.31,Transmission & Distribution
7,900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Telangana, Andhra Pradesh)",11/2022,03/2023,-,11/2024,05/2026,3546.94,-,3546.94,Transmission & Distribution
8,611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Power Grid Corporation of India Limited [POWERGRID],Rajasthan,10/2023,10/2023,-,04/2025,06/2026,1910,-,1910,Transmission & Distribution
9,617907,Rehabilitation and Up-gradation from Km 170700 Bhadrachalam to Km 234567 Konta on NH-30 to Two lane with Paved Shoulder in the State of Andra Pradesh on EPC mode.,MoRTH,Andhra Pradesh,12/2021,09/2022,-,09/2024,04/2026,436.09,-,240.15,Roads & Highways
10,617990,Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.,MoRTH,Andhra Pradesh,03/2023,02/2024,-,11/2025,11/2025,242,-,99.13,Roads & Highways
11,618145,Widening to two lane with paved shoulder of Rampachodavaram - Koyyuru section of NH 516E from Km 43700 to Km 113820 in the State of Andhra Pradesh on EPC mode Job No. 737,MoRTH,Andhra Pradesh,03/2022,01/2023,-,01/2025,04/2026,568.12,-,324.96,Roads & Highways
12,618161,Widening and Reconstruction of existing road to four lane from Km.56400 to Km 120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from Km 70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC mode Job no. 742,MoRTH,Andhra Pradesh,03/2022,09/2023,-,12/2025,03/2026,839.98,-,415.11,Roads & Highways
13,618191,"Rehabilitation and upgradation of NH-167AD from Macherla to Dachepalli via Paluvai Junction, Rentachinthala, Gurazala from Km.0.000 to 43.659 to two lane with paved shoulders in the state of Andhra Pradesh job-729",MoRTH,Andhra Pradesh,01/2022,01/2023,-,01/2025,02/2026,403.22,-,256.17,Roads & Highways
14,618237,Rehabilitation and Up-gradation of Pasarlapudi to Dhindi section from Km 105/170 to Km 126/510 of NH -214 New NH -216 to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV,MoRTH,Andhra Pradesh,03/2017,09/2017,-,09/2019,01/2026,263.45,-,158.8,Roads & Highways
15,618258,Two laning with paved shoulders of Gondiguda to Araku uptoBhallaguda section of NH 516E,MoRTH,Andhra Pradesh,08/2020,09/2021,-,09/2023,12/2025,296.66,289.11,275.38,Roads & Highways
16,618259,Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E,MoRTH,Andhra Pradesh,08/2020,03/2021,-,03/2023,10/2025,222.61,-,181.04,Roads & Highways
17,618527,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,NHAI,Andhra Pradesh,01/2020,07/2021,-,01/2024,05/2026,1194.57,1757.82,862.83,Roads & Highways
18,618748,Khammam-Devarapalle Pkg IV [4L Access Controlled Greenfield from Recherla village to Gurvaygudem village Design Chainage 105236 to 132664],NHAI,Andhra Pradesh,11/2020,09/2022,-,09/2024,01/2026,569.37,752.02,499.99,Roads & Highways
19,618919,4L PS from Mandlem Existing Km. 38.000/Design Km.30.600 to Atmakur Existing Km.73.000/Design Km 66.115 of NH340C Package2,NHAI,Andhra Pradesh,03/2023,11/2023,-,11/2025,11/2025,887.28,913.03,550.42,Roads & Highways
20,618576,"6L Standalone Flyovers at Raha, Demow, Borghat, Kathiatali junctions and ROB at Jagiroad on stretches of NH 36 and NH 27",NHAI,Assam,03/2022,12/2022,-,06/2024,10/2024,280.75,255.53,212.27,Roads & Highways
21,618285,Widening/Improvement to 4 -Lane with Paved Shoulder from Ch. 88.000km to Ch.99.930 km Design Ch.84.100km to Ch.96.000 km of Sagunbashi forest near Nichinta to starting of Krishnai Bypass Section of Bilasipura Guwahati road NH 17 on EPC Package-7,NHIDCL,Assam,03/2021,10/2023,-,10/2025,08/2025,286.72,-,220.81,Roads & Highways
22,618327,Widening/Improvement to 4-Lane with Paved Shoulder from KM 113300 to Km 146230 Design Chainage 113830 to 145712 of Kwaram Taro Village - Dillai Section in Assam on EPC Package-6,NHIDCL,Assam,09/2021,07/2022,-,07/2024,03/2025,625.64,-,578.19,Roads & Highways
23,618330,Construction of 4/6 Laning from existing Km 159.400 of NH-36 to existing Km 102.500 of NH-39 and upto end point of Assam portion [Design Km 118.050 to design Km 132.375] Total New Alignment length of 14.325 Km of Daboka - Dimapur Section Dimapur Bypass in the state of Assam under SARDP-NE 'Phase-A' on EPC mode Assam Portion,NHIDCL,Assam,03/2018,11/2019,-,11/2022,11/2025,511.02,-,671.35,Roads & Highways
24,618372,"Widening / Improvement to 4-Lane with Paved Shoulder configuration of existing single lane road from Kachukhana Harichara Paglagaunj to Dhubri - Phulbari Bridge approach Package-II of Srirampur - Dhubri Section of NH-127B from existing Km 28.050 to Km 55.060 Design Km 27.650 to Km 54.154, Design Length26.504 Km under JICA ODA Loan assistance Phase-V [Srirampur - Dhubri Pkg-2]",NHIDCL,Assam,03/2022,01/2023,-,01/2025,06/2025,909.02,-,683.81,Roads & Highways
25,617959,Rehabilitation & Widening work for 2 Lane with Paved Shoulder of Existing NH-80 from km 70.15 to Km 121.025 of Munger-Suttanganj -BhagatpurMirzachowki section on EPC Mode in the State of Bihar.,MoRTH,Bihar,03/2021,02/2023,-,01/2025,11/2025,477.54,-,343.05,Roads & Highways
26,618570,4L Elevated Highway and at grade improvements at Gopalganj Town from Km. 384.000 to Km. 386.750 on NH-27,NHAI,Bihar,10/2021,03/2022,-,08/2024,05/2025,325.57,248.92,241.89,Roads & Highways
