S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,1022,"969,677","989,066","448,973"
2,Railways,257,"724,664","873,994","584,469"
3,Urban Public Transport,29,"307,835","326,438","172,730"
4,Aviation & Aviation Infrastructure,25,"21,345","22,559","11,209"
5,Shipping,6,"14,405","14,445","10,972"
6,Logistics Infrastructure,1,763,763,430
7,Inland Waterways,1,"5,369","5,061","4,118"
8,Oil & Gas,91,"362,124","392,963","386,636"
9,Transmission & Distribution,64,"197,615","203,579","65,919"
10,Electricity Generation,38,"350,856","401,582","142,643"
11,Energy Storage,14,"36,838","40,279","32,754"
12,Water Resources,32,"98,109","199,840","143,454"
13,Waste & Water,24,"8,026","8,125","4,806"
14,Telecommunication,15,"161,792","263,714","79,930"
15,Healthcare,44,"22,607","27,023","11,594"
16,Education,31,"16,072","15,558","9,000"
17,Real Estate,12,"50,258","50,324","16,830"
18,"Tourism, Hospitality & Wellness",1,573,"1,238",637
19,Coal,115,"184,906","182,644","51,084"
20,Steel,17,"17,298","20,536","10,585"
21,Metals & Mining,6,"9,689","13,843","7,615"
22,Construction,2,899,899,275
