S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,1149,1067985,1094635,377508
2,Railways,263,731511,884365,586201
3,Urban Public Transport,29,307835,326438,171813
4,Aviation & Aviation Infrastructure,26,21601,22815,11077
5,Shipping,6,14405,14445,10820
6,Logistics Infrastructure,2,2243,2243,430
7,Inland Waterways,1,5369,5061,4029
8,Oil & Gas,93,362529,393368,383046
9,Transmission & Distribution,67,203895,209859,66309
10,Electricity Generation,38,350856,401582,140525
11,Energy Storage,16,80623,120394,103092
12,Water Resources,32,98109,199840,141119
13,Waste & Water,24,8026,8125,4799
14,Telecommunication,12,151125,253047,76237
15,Healthcare,44,22607,27023,11466
16,Education,31,16072,15520,8928
17,Real Estate,12,50258,50324,16546
18,"Tourism, Hospitality & Wellness",1,573,1238,624
19,Coal,115,185702,183440,48865
20,Steel,18,17812,21050,10474
21,Metals & Mining,6,9689,13843,7514
22,Construction,2,899,899,260
