S.No,Project ID,Project Name,Original Cost,Revised Cost,Expenditure,sept 2025
1,617321,"GODHANI-KALUMNA CHORD 13.7 KM",150000,150000,1940,11
2,705728,"MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM",108000,108000,81243,54
3,702668,"CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT",63246,63246,27456,46
4,705237,"WESTERN DEDICATED FREIGHT CORRIDOR",51101,124005,124623,96
5,705429,"RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM",38953,38953,24645,65
6,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY",43367,43367,1914,15
7,701263,"RAJASTHAN REFINERY PROJECT",43129,79459,60545,88
8,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA",34627,36225,25029,89
9,400120,"KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK",34012,34012,33239,96
10,602182,"DIBANG MULTIPURPOSE PROJECT",31876,31876,3639,16
11,701372,"SARDAR SAROVAR PROJECT",20718,33413,31861,93
12,701415,"POLAVARAM IRRIGATION PROJECT",10151,55549,24746,84
13,701405,"J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME",8201,14730,4559,87
14,400112,"JIGAON IRRIGATION PROJECT",7223,8723,0,90
15,701386,"GOSIKHURD PROJECT",7196,12770,13691,72
16,706775,"BHARATNET",61109,188000,41486,81
17,701593,"4G SERVICES BY BSNL",28466,19592,8419,96
18,400013,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF",26316,30620,9792,75
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,8420,0,96
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1135,0,80
21,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI",32850,32850,0,0
22,701658,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",2139,471,0,21
23,701167,"AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR",1828,1828,1565,67
24,701657,"TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",1702,117,0,9
25,701173,"AIIMS MAJRA REWARI HARYANA",1299,349,0,28
26,400424,"GEVRA OC [70 MTY]",11816,11816,6677,78
27,400185,"GOPALJI KANIHA OCP [10 TO 30 M",8416,6108,1730,17
28,400147,"KUSMUNDA OC EXPANSION [15 TO 50 MTY]",7612,7612,4698,81
29,612838,"DIPKA OC",7580,3091,0,65
30,400150,"RPR MAGADH EXP OCP",7254,1548,0,38
31,706780,"MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA",33690,33690,2361,16
32,400231,"NLC TALABIRA THERMAL POWER PROJECT",27213,27213,2517,1
33,400259,"GHATAMPUR THERMAL POWER PLANT 3 X 660 MW",17238,21781,20510,92
34,604795,"CBR 9 MMTPA PROJECT",31580,36354,1342,10
35,615347,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V [8 GW] PART A [SPV NAME POWERGRID WEST CENTRAL TRANSMISSION LIMITED]",24819,24819,1856,1
36,400062,"RAGHUNATHPUR THERMAL POWER STATION PHASE II [2X660 MW] AT RAGHUNATHPUR, PURULIA, WEST BENGAL",17673,17673,1372,2
37,612142,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III [2X800 MW]",17195,17195,1916,10
38,400261,"PATRATU THERMAL POWER STATION EXPANSION PROJECT PHASE-I [3X800 MW]",17112,20302,17860,85
39,702633,"DELHI-GHAZIABAD-MEERUT REGIONAL RAPID TRANSIT SYSTEM [RRTS] CORRIDOR",30274,30274,26612,95
40,702635,"CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.",26405,30695,29568,94
41,702632,"DMRTS PHASE - IV [3 PRIORITY CORRIDORS]",24949,24949,17380,70
