S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,"Railways",250,816698,965841,533164
2,"Aviation & Aviation Infrastructure",26,23050,23511,24583
3,"Urban Public Transport",22,235217,255798,167263
4,"Shipping",7,16499,16499,9272
5,"Inland Waterways",3,68792,68504,31128
6,"Logistics Infrastructure",1,171,212,138
7,"Oil & Gas",89,349436,378613,182909
8,"Transmission & Distribution",65,149516,156031,57067
9,"Electricity Generation",35,270284,329637,160640
10,"Energy Storage",16,81301,120224,91359
11,"Water Resources",39,93740,193594,137306
12,"Waste & Water",33,10125,10125,34842
13,"Telecommunication",15,152734,274827,72373
14,"Education",29,12467,12401,7891
15,"Real Estate",6,37591,37591,646
16,"Healthcare",4,4848,5186,2795
17,"Tourism, Hospitality & Wellness",1,573,1238,497
18,"Coal",120,174830,172568,56469
19,"Steel",20,19267,22505,8278
20,"Metals & Mining",10,14436,16873,6383
21,"Construction",3,1546,1546,711
